Date,Day,People Tested - Total,People Positive - Total,People Not-Positive - Total,People Tested - Age 0-17,People Tested - Age 18-29,People Tested - Age 30-39,People Tested - Age 40-49,People Tested - Age 50-59,People Tested - Age 60-69,People Tested - Age 70-79,People Tested - Age 80+,People Tested - Age Unknown,People Tested - Female,People Tested - Male,People Tested - Gender Unknown,People Tested - Latinx,People Tested - Asian Non-Latinx,People Tested - Black Non-Latinx,People Tested - White Non-Latinx,People Tested - Other Race Non-Latinx,People Tested - Unknown Race/Ethnicity,People Positive - Age 0-17,People Positive - Age 18-29,People Positive - Age 30-30,People Positive - Age 40-49,People Positive - Age 50-59,People Positive - Age 60-69,People Positive - Age 70-79,People Positive - Age 80+,People Positive - Age Unknown,People Positive - Female,People Positive - Male,People Positive - Gender Unknown,People Positive - Latinx,People Positive - Asian Non-Latinx,People Positive - Black Non-Latinx,People Positive - White Non-Latinx,People Positive - Other Race Non-Latinx,People Positive - Unknown Race/Ethnicity,People Not-Positive - Age 0-17,People Not-Positive - Age 18-29,People Not-Positive - Age 30-39,People Not-Positive - Age 40-49,People Not-Positive - Age 50-59,People Not-Positive - Age 60-69,People Not-Positive - Age 70-79,People Not-Positive - Age 80+,People Not-Positive - Age Unknown,People Not-Positive - Female,People Not-Positive - Male,People Not-Positive - Gender Unknown,People Not-Positive - Latinx,People Not-Positive - Asian Non-Latinx,People Not-Positive - Black Non-Latinx,People Not-Positive - White Non-Latinx,People Not-Positive - Other Race Non-Latinx,People Not-Positive - Unknown Race/Ethnicity
04/14/2020,Tuesday,2130,663,1467,97,318,425,391,330,288,152,128,1,1210,912,8,355,64,491,371,115,734,16,103,120,120,124,78,51,51,0,352,310,1,230,24,194,94,36,85,81,215,305,271,206,210,101,77,1,858,602,7,125,40,297,277,79,649
08/03/2020,Monday,6039,421,5618,717,1602,1346,770,664,518,290,131,1,3323,2636,80,1204,186,1094,1444,211,1900,55,121,87,66,47,24,14,7,0,216,203,2,214,10,67,69,16,45,662,1481,1259,704,617,494,276,124,1,3107,2433,78,990,176,1027,1375,195,1855
08/09/2020,Sunday,1914,115,1799,201,502,435,224,181,190,121,59,1,1060,848,6,248,51,295,491,61,768,16,41,21,12,6,9,6,4,0,53,62,0,41,4,17,36,2,15,185,461,414,212,175,181,115,55,1,1007,786,6,207,47,278,455,59,753
04/11/2020,Saturday,1261,398,863,44,195,270,217,223,157,93,62,0,639,612,10,177,31,316,179,66,492,7,53,71,65,83,55,38,26,0,184,212,2,103,17,145,54,15,64,37,142,199,152,140,102,55,36,0,455,400,8,74,14,171,125,51,428
07/30/2020,Thursday,4983,341,4642,530,1407,1114,661,547,419,198,102,5,2714,2142,127,1193,155,850,1121,191,1473,49,77,80,49,50,25,7,4,0,175,165,1,155,11,72,56,8,39,481,1330,1034,612,497,394,191,98,5,2539,1977,126,1038,144,778,1065,183,1434
07/21/2020,Tuesday,5285,287,4998,502,1309,1047,737,657,568,311,146,8,2777,2346,162,775,108,979,1260,231,1932,25,82,57,55,29,22,8,9,0,140,147,0,91,3,88,52,17,36,477,1227,990,682,628,546,303,137,8,2637,2199,162,684,105,891,1208,214,1896
04/27/2020,Monday,3574,1156,2418,167,707,662,603,594,472,201,162,6,1861,1603,110,805,68,559,415,191,1536,42,234,201,232,205,125,53,64,0,571,554,31,515,24,200,107,61,249,125,473,461,371,389,347,148,98,6,1290,1049,79,290,44,359,308,130,1287
07/01/2020,Wednesday,5335,262,5073,379,1436,1240,692,641,518,244,166,19,2966,2241,128,884,110,839,1101,177,2224,16,96,51,31,27,25,6,10,0,153,108,1,92,1,64,55,4,46,363,1340,1189,661,614,493,238,156,19,2813,2133,127,792,109,775,1046,173,2178
07/06/2020,Monday,5332,284,5048,417,1330,1146,723,657,575,321,156,7,2847,2392,93,809,123,920,1034,161,2285,22,81,66,41,36,21,11,6,0,150,127,7,87,12,66,46,7,66,395,1249,1080,682,621,554,310,150,7,2697,2265,86,722,111,854,988,154,2219
07/31/2020,Friday,6082,393,5689,664,1583,1277,804,728,585,306,130,5,3392,2609,81,1203,140,1281,1310,208,1940,47,113,81,64,42,31,8,7,0,208,182,3,187,5,76,73,12,40,617,1470,1196,740,686,554,298,123,5,3184,2427,78,1016,135,1205,1237,196,1900
